member_id,local_name,website
0001,力晶創新投資控股股份有限公司,http://www.powerchiptech.com/
0005,工業技術研究院,http://www.itri.org.tw
0009,世界先進積體電路股份有限公司,http://www.vis.com.tw
0010,台灣光罩股份有限公司,https://www.tmcnet.com.tw/
0013,台灣積體電路製造股份有限公司,http://www.tsmc.com
0014,台灣應用材料股份有限公司,http://www.appliedmaterials.com
0016,巨華積体電路股份有限公司,http://www.aplusinc.com.tw
0024,矽成積體電路股份有限公司,http://www.issi.com
0027,南亞科技股份有限公司,https://www.nanya.com
0029,科林研發股份有限公司,https://taiwan.lamresearch.com/
0031,美商科磊股份有限公司台灣分公司,http://www.kla.com
0032,凌陽科技股份有限公司,https://w3.sunplus.com/
0040,華邦電子股份有限公司,https://www.winbond.com
0041,華泰電子股份有限公司,https://www.ose.com.tw
0044,菱生精密工業股份有限公司,https://www.lingsen.com.tw/
0048,瑞昱半導體股份有限公司,http://www.realtek.com
0049,鈺創科技股份有限公司,http://www.etron.com
0050,漢民科技股份有限公司,http://www.hermes.com.tw
0051,漢磊科技股份有限公司,https://www.episil.com
0055,聯華電子股份有限公司,http://www.umc.com
0062,矽品精密工業股份有限公司,http://www.spil.com.tw
0064,華東科技股份有限公司,https://www.walton.com.tw
0081,創意電子股份有限公司,http://www.guc-asic.com%20
0083,日月光半導體製造股份有限公司,http://www.aseglobal.com
0096,微相科技股份有限公司,https://www.mliusa.com
0101,南茂科技股份有限公司,https://www.chipmos.com
0102,茂德科技股份有限公司,http://www.promos.com.tw
0104,台灣巴斯夫股份有限公司,http://www.basf.com
0108,京元電子股份有限公司,http://www.kyec.com.tw
0111,凱鈺科技股份有限公司,http://www.tmtech.com.tw
0119,晶豪科技股份有限公司,http://www.esmt.com.tw
0126,笙泉科技股份有限公司,http://www.megawin.com.tw
0127,聯傑國際股份有限公司,http://www.davicom.com.tw
0134,環真科技股份有限公司,http://www.truetest.com.tw
0146,帆宣系統科技股份有限公司,https://www.micb2b.com/
0151,蔚華科技股份有限公司,http://www.spirox.com.tw
0159,聯發科技股份有限公司,http://www.mediatek.com
0161,智成電子股份有限公司,http://www.syntronix.com.tw
0163,奇景光電股份有限公司,http://www.himax.com.tw
0165,立錡科技股份有限公司,http://www.richtek.com
0167,力旺電子股份有限公司,http://www.ememory.com.tw
0174,宜特科技股份有限公司,http://www.istgroup.com
0175,力成科技股份有限公司,https://www.pti.com.tw/
0183,世芯電子股份有限公司,http://www.alchip.com
0184,力晶積成電子製造股份有限公司,https://www.powerchip.com/
0185,群聯電子股份有限公司,http://www.phison.com/
0193,穩懋半導體股份有限公司,https://www.winfoundry.com/
0197,環球晶圓股份有限公司,https://www.sas-globalwafers.com/
0198,上銀科技股份有限公司,http://www.hiwin.tw/
0202,馗鼎奈米科技股份有限公司,http://www.creating-nanotech.com
0205,欣銓科技股份有限公司,http://www.ardentec.com
0206,矽格股份有限公司,https://www.sigurd.com.tw
0207,大聯大控股股份有限公司,http://www.WPGholdings.com
0210,億力鑫系統科技股份有限公司,http://www.els-tech.com.tw/tw/company/profile/info/1
0212,嘉晶電子股份有限公司,http://www.epi.episil.com/
0213,威宏科技股份有限公司,https://www.vianextech.com
0214,均豪精密工業股份有限公司,https://www.gpmcorp.com.tw/
0217,泰特科技股份有限公司,http://www.tmtc.com.tw/index.asp
0218,啟賦科技股份有限公司,http://www.chiff.com.tw/
0221,円星科技股份有限公司,https://www.m31tech.com/
0222,愛普科技股份有限公司,http://www.apmemory.com
0223,均華精密工業股份有限公司,http://www.gmmcorp.com.tw/
